qsdi,age,prov,Mortality_Rate,lci,uci,cmr,qx,lx,dx,Lx,Tx,Ex,wEx
2,77,01,12288.121,12228.085,12348.156,0.12288121,0.21789199,69785.188,15205.634,310911.84,746419.94,10.695965,10.879674
3,77,01,12730.841,12674.753,12786.929,0.12730841,0.22478652,68073.016,15301.896,302110.34,733263.38,10.771744,10.840136
4,77,01,12828.975,12782.15,12875.798,0.12828974,0.2263065,67149.805,15196.437,297757.91,727757,10.837813,10.837813
5,77,01,13591.61,13546.711,13636.51,0.1359161,0.23801789,64629.773,15383.042,284691.25,685788.88,10.611036,10.611036
1,82,01,25278.354,25159.014,25397.691,0.25278354,0.39683655,57379.195,22770.162,229970.58,464709.03,8.0989122,8.343992
2,82,01,25748.961,25643.531,25854.391,0.25748962,0.40248701,54579.555,21967.563,217978.88,438126.59,8.0273018,8.217514
3,82,01,26061.197,25965.848,26156.549,0.26061198,0.40620667,52771.133,21435.986,210265.7,435029.72,8.243741,8.263049
4,82,01,26097.588,26015.125,26180.053,0.26097587,0.40663868,51953.363,21126.248,206951.2,429999.09,8.2766361,8.276636
5,82,01,27047.139,26964.455,27129.822,0.27047139,0.4178009,49246.73,20575.328,194795.33,401097.63,8.1446552,8.144655
1,85,01,40265.422,40096.074,40434.766,0.4026542,0.55304998,34609.031,19140.523,250387.7,250387.7,7.2347503,7.23475
2,85,01,40438.648,40281.418,40595.879,0.40438649,0.55459577,32867.43,18228.137,235240.31,235240.31,7.1850033,7.222724
3,85,01,40343.129,40187.863,40498.395,0.4034313,0.55374402,31675.387,17540.055,224224.86,224224.86,7.116498,7.194697
4,85,01,40249.887,40118.078,40381.695,0.40249887,0.55291104,30827.115,17044.652,223047.89,223047.89,7.235445,7.235445
5,85,01,41153.629,41001.738,41305.523,0.41153631,0.56091952,28671.402,16082.351,206302.28,206302.28,7.1954026,7.195402
1,2,02,142.03287,137.98764,146.07809,0.0014203286,0.0028366265,100000,283.66266,499290.84,7952537.5,79.525375,79.301025
2,2,02,151.03374,147.01904,155.04843,0.0015103375,0.0030161173,100000,301.61172,499245.97,7871810.5,78.718102,78.718102
3,2,02,149.591,145.59808,153.58391,0.00149591,0.0029873489,100000,298.73489,499253.16,7818941.5,78.189415,78.189415
4,2,02,146.4314,141.72356,151.13925,0.0014643141,0.0029243436,100000,292.43439,499268.91,7776880,77.768806,77.860842
5,2,02,173.55933,166.52507,180.59358,0.0017355933,0.0034651691,100000,346.51691,499133.72,7688523.5,76.885239,76.946086
1,7,02,41.483624,39.308929,43.658321,0.00041483625,0.00082932843,99716.336,82.697594,498374.94,7453246.5,74.744484,74.696864
2,7,02,49.724827,47.408276,52.041378,0.00049724826,0.00099400221,99698.391,99.100418,498244.19,7372564.5,73.948685,73.948685
3,7,02,51.437592,49.049973,53.825207,0.00051437592,0.0010282228,99701.266,102.51511,498250.03,7319688.5,73.416206,73.416204
4,7,02,52.884922,49.98711,55.78273,0.0005288492,0.0010571392,99712.063,105.40954,498296.78,7268747,72.897629,73.07196
5,7,02,60.660122,56.729641,64.590599,0.00060660118,0.0012124667,99653.484,120.82654,497965.34,7189389.5,72.14389,72.201285
1,12,02,24.278063,22.64539,25.910734,0.00024278062,0.00048544336,99633.641,48.366489,498047.28,6954871.5,69.804451,69.810965
2,12,02,29.424126,27.667089,31.181162,0.00029424127,0.00058830943,99599.289,58.5952,497849.97,6874320.5,69.019775,69.019775
3,12,02,31.565742,29.735468,33.396019,0.00031565744,0.00063111563,99598.75,62.85833,497836.59,6821438.5,68.489197,68.489194
4,12,02,33.410061,31.415886,35.404232,0.00033410059,0.00066797802,99602.156,66.532051,497844.44,6788794,68.159103,68.159103
5,12,02,37.268986,34.390144,40.147823,0.00037268986,0.00074510201,99532.656,74.16198,497477.88,6691424.5,67.228432,67.297266
1,17,02,42.171116,40.141331,44.200897,0.00042171116,0.00084306672,99585.273,83.957031,497716.47,6456824.5,64.837143,64.84978
2,17,02,44.110569,42.055996,46.165142,0.00044110569,0.00088182231,99540.695,87.777206,497484.03,6376470.5,64.058929,64.058929
3,17,02,48.354382,46.182762,50.526001,0.00048354382,0.00096662017,99535.891,96.213402,497438.94,6323601.5,63.530869,63.530869
4,17,02,51.130482,48.50399,53.756977,0.00051130482,0.0010220869,99542.164,101.74075,497456.47,6287924,63.168518,63.200855
5,17,02,56.037575,52.768253,59.306896,0.00056037575,0.0011201237,99458.492,111.40581,497013.94,6198538,62.322865,62.351078
1,22,02,96.15097,93.219559,99.082382,0.00096150971,0.0019211716,99501.313,191.15909,497028.69,5959108,59.88974,59.895268
2,22,02,89.321411,86.549118,92.093704,0.00089321414,0.0017848336,99452.922,177.50691,496820.84,5878986.5,59.113262,59.113262
3,22,02,97.570778,94.650101,100.49146,0.00097570778,0.0019495127,99439.68,193.85892,496713.75,5826163,58.58992,58.589919
4,22,02,103.13269,99.568687,106.69669,0.0010313268,0.0020605279,99440.422,204.89978,496689.88,5790467.5,58.230587,58.263573
5,22,02,112.93664,108.66504,117.20824,0.0011293663,0.0022561837,99353.008,224.15865,496204.66,5696610,57.337368,57.425485
1,27,02,125.07137,122.0391,128.10364,0.0012507137,0.0024983014,99310.156,248.1067,495930.5,5462079.5,55.00021,54.880238
2,27,02,125.85673,122.70023,129.01323,0.0012585673,0.0025139693,99275.414,249.57535,495753.13,5382165.5,54.214485,54.214485
3,27,02,133.58932,130.44879,136.72986,0.0013358933,0.0026682205,99245.82,264.80972,495567.06,5329449,53.699482,53.699482
