qsdi,age,prov,Mortality_Rate,lci,uci,cmr,qx,lx,dx,Lx,Tx,Ex,wEx
3,85,01,33511.59,33417.746,33605.434,0.33511588,0.48841,53525.352,26142.316,404541.94,404541.94,7.55795,7.55795
4,85,01,33858.402,33773.465,33943.34,0.33858404,0.49194628,52708.012,25929.51,397432.56,397432.56,7.5402684,7.540268
5,85,01,35274.438,35186.918,35361.953,0.35274437,0.50613284,50076.598,25345.41,374038.94,374038.94,7.469336,7.469336
1,2,02,114.8668,111.15855,118.57504,0.001148668,0.0022946992,100000,229.46991,499426.31,8469364,84.693642,84.693642
2,2,02,126.63845,122.82665,130.45024,0.0012663845,0.0025295643,100000,252.95642,499367.63,8450632,84.506317,84.506317
3,2,02,131.26726,127.37817,135.15636,0.0013126726,0.0026219022,100000,262.19022,499344.53,8427008,84.270081,84.270081
4,2,02,147.255,142.40469,152.10532,0.0014725501,0.0029407677,100000,294.07678,499264.81,8386624.5,83.866249,84.0463
5,2,02,149.96559,143.03032,156.90088,0.001499656,0.0029948186,100000,299.48184,499251.28,8327332.5,83.273331,83.411196
1,7,02,38.940445,36.806179,41.074711,0.00038940445,0.0007785057,99770.531,77.671928,498658.47,7969937.5,79.882683,79.882683
2,7,02,37.975029,35.883598,40.06646,0.0003797503,0.00075921224,99747.047,75.729179,498545.91,7951264.5,79.714287,79.714287
3,7,02,39.991188,37.840221,42.142155,0.00039991189,0.00079950399,99737.813,79.740776,498489.72,7927663,79.485031,79.485031
4,7,02,46.243973,43.598686,48.889263,0.00046243973,0.00092445186,99710.516,92.177574,498322.16,7903136,79.260895,79.291167
5,7,02,48.309559,44.660637,51.958481,0.00048309559,0.00096572458,99705.195,96.287758,498285.25,7816058,78.392319,78.649867
1,12,02,20.666115,19.101637,22.230595,0.00020666115,0.00041323688,99692.859,41.196766,498361.31,7471279,74.94297,74.94297
2,12,02,18.801151,17.379116,20.223188,0.00018801152,0.00037595234,99671.32,37.471664,498262.94,7452718.5,74.772949,74.772949
3,12,02,20.051077,18.584782,21.517372,0.00020051077,0.00040094115,99658.07,39.95702,498190.47,7429173.5,74.546631,74.546631
4,12,02,22.81365,20.983671,24.643631,0.0002281365,0.00045616893,99618.344,45.442791,497978.09,7404814.5,74.331932,74.362231
5,12,02,24.848822,22.37291,27.324736,0.00024848821,0.00049685297,99609.617,49.491337,497924.34,7312809,73.415367,73.722444
